Jurisdiction,Facility,Year,Month,Unsentenced males,Unsentenced females,Sentenced males,Sentenced females,Total facility ADP
Santa Cruz Sheriff's Dept.,Santa Cruz Blaine Womens Min,1996,1,0.0,0.0,0.0,15.0,15.0
Santa Cruz Sheriff's Dept.,Santa Cruz Main Jail,1996,1,192.0,21.0,129.0,8.0,350.0
Santa Cruz Sheriff's Dept.,Santa Cruz Medium Security,1996,1,0.0,0.0,0.0,0.0,0.0
Santa Cruz Sheriff's Dept.,Santa Cruz Rountree Lane Minimum ,1996,1,0.0,0.0,164.0,0.0,164.0
Scapular House,Scapular House ,1996,1,0.0,0.0,86.0,13.0,99.0
Shasta Sheriff's Dept.,Shasta County Detention Annex,1996,1,0.0,0.0,52.87,7.87,60.74
Shasta Sheriff's Dept.,Shasta County Main Jail ,1996,1,200.45,30.26,71.48,9.06,311.25
Siskiyou Sheriff's Dept.,Siskiyou County Jail ,1996,1,34.0,2.0,44.0,8.0,88.0
Solano Sheriff's Dept.,Claybank Facility ,1996,1,76.0,0.0,159.0,26.0,261.0
Solano Sheriff's Dept.,Solano County Justice Center ,1996,1,366.0,51.0,92.0,14.0,523.0
Sonoma Sheriff's Dept.,Sonoma Main Adult Detention,1996,1,257.1,9.0,97.6,5.5,369.2
Sonoma Sheriff's Dept.,Sonoma-North County Facility,1996,1,157.5,58.0,273.7,24.2,513.4
Stanislaus Sheriff's Dept.,Stanislaus Co. Public Safety Center,1996,1,129.0,63.0,67.0,62.0,321.0
Stanislaus Sheriff's Dept.,Stanislaus County Honor Farm ,1996,1,23.0,0.0,208.0,0.0,231.0
Stanislaus Sheriff's Dept.,Stanislaus County Jail ,1996,1,308.0,0.0,60.0,0.0,368.0
Sutter Sheriff's Dept.,Sutter County Jail ,1996,1,51.0,10.0,118.0,24.0,203.0
Tehama Sheriff's Dept.,Tehama County Jail ,1996,1,35.0,7.0,90.0,14.0,146.0
Trinity Sheriff's Dept.,Trinity Co. Detention Facility,1996,1,16.0,1.0,12.0,2.0,31.0
Tulare Sheriff's Dept.,Bob Wiley Detention Facility,1996,1,217.0,67.0,264.0,86.0,634.0
Tulare Sheriff's Dept.,Tulare Correctional Center ,1996,1,0.0,0.0,329.0,0.0,329.0
Tulare Sheriff's Dept.,Tulare County Jail ,1996,1,207.0,0.0,54.0,0.0,261.0
Tuolumne Sheriff's Dept.,Tuolumne County Jail ,1996,1,52.0,7.0,50.0,11.0,120.0
Ventura Sheriff's Dept.,Ventura County Branch- Medium,1996,1,77.0,0.0,358.0,0.0,435.0
Ventura Sheriff's Dept.,Ventura County Branch- Women ,1996,1,0.0,53.0,0.0,91.0,144.0
Ventura Sheriff's Dept.,Ventura County Main Jail ,1996,1,460.0,4.0,188.0,3.0,655.0
Ventura Sheriff's Dept.,Ventura County Ojai -Women,1996,1,0.0,0.0,146.0,0.0,146.0
Ventura Work Furlough,Ventura County Work Furlough ,1996,1,0.0,0.0,181.0,28.0,209.0
Yolo Sheriff's Dept.,Leinberger Center ,1996,1,52.0,18.0,52.0,4.0,126.0
Yolo Sheriff's Dept.,Monroe Detention Center ,1996,1,207.0,10.0,33.0,2.0,252.0
Yuba Sheriff's Dept.,Yuba County Jail ,1996,1,131.0,19.0,79.0,23.0,252.0
Alameda Sheriff's Dept.,Glen Dyer Jail,1996,2,431.0,1.0,90.0,0.0,522.0
Alameda Sheriff's Dept.,Santa Rita Jail,1996,2,2172.0,198.0,820.0,160.0,3350.0
Amador Sheriff's Dept.,Amador County Jail,1996,2,13.41,0.7,16.15,1.67,31.93
Butte Sheriff's Dept.,Butte County Jail,1996,2,206.0,26.0,148.0,24.0,404.0
Calaveras Sheriff's Dept.,Calaveras County Jail,1996,2,25.0,3.2,25.4,2.1,55.7
Colusa Sheriff's Dept.,Colusa County Jail,1996,2,35.0,2.0,33.0,3.0,73.0
